,STR_ESID,Name,wikiQLabel,wikiQ,instance
293,10190870,Albert Oeri-Strasse,Albert Oeri,http://www.wikidata.org/entity/Q15456906,Mensch
294,10077452,Albert Schweitzer-Strasse,Albert Schweitzer,http://www.wikidata.org/entity/Q49325,Mensch
295,10179488,Hirtenweg,Hirten,http://www.wikidata.org/entity/Q266658,Ortsteil
296,10087579,Gilgenbergerstrasse,Gilgenberger,,
297,10026805,Jurastrasse,Jura,http://www.wikidata.org/entity/Q45805,Periode
298,10063536,Klingelbergstrasse,Klingelberg,,
299,10121152,Holbeinstrasse,Holbein,http://www.wikidata.org/entity/Q1624290,Wikimedia-Begriffsklärungsseite
300,10087583,Benkenstrasse,Benken,http://www.wikidata.org/entity/Q67227,politische Gemeinde
301,10026785,Lehenmattstrasse,Lehenmatt,,
302,10025911,Giessliweg,Giessli,,
303,10064895,Augsterweg,Augster,,
304,10179479,Säckingerstrasse,Säckinger,,
305,10087621,An der hohlen Gasse,An der hohlen Gasse,,
306,10087616,Markgräflerstrasse,Markgräfler,,
307,10110182,Sundgauerstrasse,Sundgauer,,
308,10025352,Elisabethenanlage,Elisabethen,,
309,10120302,Giornicostrasse,Giornico,http://www.wikidata.org/entity/Q67763,politische Gemeinde
310,10110181,Bungestrasse,Bunge,http://www.wikidata.org/entity/Q121047,Taxon
311,10026595,Römerfeldstrasse,Römerfeld,,
312,10026184,Sarnerstrasse,Sarner,http://www.wikidata.org/entity/Q25246862,Wikimedia-Begriffsklärungsseite
313,10089601,Viaduktstrasse,Viadukt,http://www.wikidata.org/entity/Q12778454,Wikimedia-Begriffsklärungsseite
314,10179487,Fürfelderstrasse,Fürfelder,,
315,10064899,Bonfolstrasse,Bonfol,http://www.wikidata.org/entity/Q67993,politische Gemeinde
316,10088576,Mauerstrasse,Mauer,http://www.wikidata.org/entity/Q81937,Gemeinde in Deutschland
317,10180310,In der Leimgrube,In der Leimgrube,,
318,10026181,Palmenstrasse,Palmen,http://www.wikidata.org/entity/Q2048192,Wikimedia-Begriffsklärungsseite
319,10087571,Ramsteinerstrasse,Ramsteiner,,
320,10175241,Wettsteinplatz,Wettstein,http://www.wikidata.org/entity/Q809916,Basler Quartiere
321,10087380,Kilchgrundstrasse,Kilchgrund,,
322,10087628,Laufenburgerstrasse,Laufenburger,,
323,10104961,Petersplatz,Peters,http://www.wikidata.org/entity/Q294946,Wikimedia-Begriffsklärungsseite
324,10026531,Lukas Legrand-Strasse,Lukas Legrand,http://www.wikidata.org/entity/Q21544966,Mensch
325,10025625,Austrasse,Au,http://www.wikidata.org/entity/Q106901,Wikimedia-Begriffsklärungsseite
326,10118094,Zum Hilsenstein,Zum Hilsenstein,,
327,10026264,Bettingerstrasse,Bettinger,http://www.wikidata.org/entity/Q850121,Wikimedia-Begriffsklärungsseite
328,10222695,Lauberweg,Lauber,http://www.wikidata.org/entity/Q1128311,Wikimedia-Begriffsklärungsseite
329,10145758,Stuttgart-Strasse,Stuttgart,http://www.wikidata.org/entity/Q1022,Oberzentrum
330,10025343,Grünpfahlgasse,Grünpfahl,,
331,10110189,Davidsgässchen,Davids,http://www.wikidata.org/entity/Q1177640,Wikimedia-Begriffsklärungsseite
332,10025063,Näfelserstrasse,Näfelser,,
333,10026825,Göschenenstrasse,Göschenen,http://www.wikidata.org/entity/Q69639,politische Gemeinde
334,10110172,Wilhelm Klein-Strasse,Wilhelm Klein,http://www.wikidata.org/entity/Q94729,Mensch
335,10165825,Dreirosenstrasse,Dreirosen,,
