,Id Strasse,Strassenname,Erklärung erste Zeile,Erklärung zweite Zeile,Geo Shape,Geo Point,Erstmals erwähnt,Amtlich benannt,Indextext,Kurztext
982,615,Vesalgasse,"Andreas Vesal (1514–1564), Anatom",und Präparator an der Universität Basel,"{""coordinates"": [[7.582701240210996, 47.55823212846405], [7.582696232951156, 47.55804553278231], [7.582682442819069, 47.55790304419181], [7.582682435713948, 47.557900409038076], [7.582682588068465, 47.55789778268103], [7.582682873285798, 47.557895156159866], [7.582683304676443, 47.5578925384518], [7.582683868978355, 47.557889938566966], [7.582684592739828, 47.55788734747886], [7.58268544943677, 47.55788478320775], [7.582686439044921, 47.55788223675979], [7.58268757487479, 47.55787971711238], [7.58268884366433, 47.557877233275576], [7.582690258675555, 47.55787477623928], [7.582691793384391, 47.55787236402375], [7.582693461052844, 47.55786998761882], [7.582695261705172, 47.557867656018196], [7.582697195341337, 47.55786536922183], [7.582699248675076, 47.557863127246215], [7.582701421754866, 47.557860948078684], [7.582703701270179, 47.55785882274198], [7.582706113793559, 47.557856751203225], [7.582708632776704, 47.55785474248898], [7.58271125824387, 47.557852805592944], [7.582713976860269, 47.557850922544084], [7.582716815271204, 47.55784912029066], [7.582719733593621, 47.557847389888266], [7.582722758400055, 47.55784573130404], [7.582725863117967, 47.55784414457081], [7.582729061082153, 47.557842647659534], [7.582732325671571, 47.557841222615686], [7.582735683507271, 47.55783988739373], [7.582739094706206, 47.55783863304933], [7.582742585840929, 47.55783745954956], [7.582746130387426, 47.55783638491473], [7.582750245248569, 47.5578349408319], [7.582754293411269, 47.55783339790035], [7.582758261637781, 47.55783177412397], [7.582762136593292, 47.55783005153167], [7.582765944898854, 47.55782824807809], [7.582769646695657, 47.55782636381252], [7.582773255245694, 47.557824389724765], [7.582776770573233, 47.557822334808634], [7.582780179416254, 47.55782020807418], [7.58278348175051, 47.557818000527796], [7.58278667760025, 47.55781572116308], [7.582789753703485, 47.55781337899022], [7.582792723297947, 47.557810956005454], [7.582795559883924, 47.557808479222665], [7.582798276699144, 47.55780593063807], [7.582800873792151, 47.55780332823903], [7.582803337852426, 47.557800663048404], [7.582805668928533, 47.557797953053466], [7.582807866996197, 47.5577951892606], [7.58280991876919, 47.5577923716862], [7.582811837558044, 47.55778950930756], [7.582813623387063, 47.557786611118395], [7.582815249659474, 47.55778366815791], [7.582816742996348, 47.55778069838054], [7.582818076800933, 47.55777769282556], [7.582819277670031, 47.55777466045373], [7.58282031903116, 47.557771601297986], [7.5828212141706, 47.5577685153419], [7.582821949826388, 47.55776541159549], [7.582822539309078, 47.557762299036185], [7.582822969332446, 47.557759177680325], [7.582823253158505, 47.557756038517795], [7.582821317261408, 47.55773779263516], [7.582819182120608, 47.55771956498621], [7.58281686097401, 47.55770133756712], [7.582814353870343, 47.5576831283653], [7.582811634213078, 47.55766492841989], [7.58280872859914, 47.55764674669172], [7.582805637004443, 47.557628574187014], [7.582802346167244, 47.55761041991595], [7.582798869373947, 47.5575922838621], [7.582795193338536, 47.55757416604184], [7.582791318036945, 47.55755605746143], [7.582787256804106, 47.557537976091915], [7.582783009615929, 47.557519912939405], [7.58277856321068, 47.55750187701421], [7.582773930850483, 47.557483859306025], [7.582769099249338, 47.55746585983131], [7.5827531435368, 47.55740714150278], [7.582747869818975, 47.557387775526145]], ""type"": ""LineString""}","47.5578092769974,7.5827478671788695",,1886,VES,Vesalgasse
983,183,Frobenstrasse,"Johannes Froben (1460–1527),",Buchdrucker und Verleger,"{""coordinates"": [[[7.585861976436711, 47.5447124170825], [7.585794251740574, 47.544632413076975], [7.585361908167002, 47.544121518293544], [7.584445716157588, 47.54303891820293], [7.584415946850947, 47.54300374480573], [7.584366229202296, 47.5429449786864]], [[7.58678730143883, 47.54580557045815], [7.586731195101927, 47.545739321718095], [7.586711391275958, 47.54571591811421], [7.585930500994829, 47.5447933913628], [7.585861976436711, 47.5447124170825]]], ""type"": ""MultiLineString""}","47.54437531296768,7.585576719958281",,1880,FRO,Frobenstr.
984,130,Dufourstrasse,"Guillaume Henri Dufour (1787–1875),",Schweizer General,"{""coordinates"": [[[7.595083091940936, 47.55290544522536], [7.595334133233862, 47.55181653144156], [7.595360026175165, 47.55171270872586]], [[7.594640956521668, 47.55468084560216], [7.594638740150427, 47.554677089185404], [7.594636629984458, 47.55467330564513], [7.594634626023731, 47.55466949498146], [7.594632728268225, 47.554665657194356], [7.594630950003403, 47.55466179226599], [7.594629277970035, 47.55465790920791], [7.594627725427297, 47.55465399900861], [7.594626279142246, 47.55465007967327], [7.594624952347777, 47.55464613319678], [7.594623731784671, 47.55464216859054], [7.594622630764646, 47.554638194830545], [7.594621635975939, 47.554634202940775], [7.594620760730256, 47.554630201897275], [7.594620005027577, 47.55462619170003], [7.594619368867864, 47.55462217234895], [7.594618838965649, 47.554618143861894], [7.59461842860635, 47.55461410622109], [7.594618137789951, 47.55461005942649], [7.594617953283499, 47.55460602148329], [7.594617901605351, 47.554601974368566], [7.594617956210833, 47.55459792711157], [7.594618130385371, 47.55459387969447], [7.594618410869758, 47.55458984112885], [7.594618824208606, 47.55458580238537], [7.59461934385725, 47.55458177249334], [7.594619983101111, 47.554577751434884], [7.594620728654728, 47.55457373922788], [7.594621607088964, 47.55456973583674], [7.59462259185916, 47.5545657502907], [7.594623682939034, 47.554561773596106], [7.594624893614004, 47.55455780573512], [7.594626223936583, 47.55455386469518], [7.594893555157952, 47.55351887520907]]], ""type"": ""MultiLineString""}","47.55319608044907,7.594985095512151",,1878,DUF,Dufourstr.
1002,292,Jungstrasse,"Karl Gustav Jung (1794–1864),","Mediziner, Grossvater von C.G. Jung","{""coordinates"": [[[7.580568524308713, 47.567987138062115], [7.580451754359644, 47.567936780510095], [7.579764363610423, 47.56764040864599]], [[7.57861600664515, 47.56714528648693], [7.578531900951237, 47.56710904386265], [7.577778772917971, 47.56678448077991], [7.577656620477987, 47.566731842416026]], [[7.579764363610423, 47.56764040864599], [7.578700099165349, 47.56718152906558], [7.57861600664515, 47.56714528648693]]], ""type"": ""MultiLineString""}","47.56735942648017,7.579112599877465",,1897,JUN,Jungstr.
1008,115,Castellioweglein,"Sebastian Castellio (1515–1563),","Humanist, Vordenker religiöser Toleranz","{""coordinates"": [[[7.600573572012372, 47.55433158229947], [7.600499491441119, 47.55432250263866], [7.600416340946724, 47.55431912856629], [7.600241152290013, 47.55429490873283], [7.600402832775365, 47.55415792546014], [7.6003867253721, 47.554121028502976], [7.600306481691205, 47.55394994395022], [7.600279965742722, 47.55389342807311]], [[7.601046623325194, 47.554304275303096], [7.60085698591041, 47.554303900972464], [7.600573572012372, 47.55433158229947]], [[7.600573572012372, 47.55433158229947], [7.600243834622546, 47.55450075382368], [7.599434737121169, 47.5546071721231], [7.599285678914397, 47.554697207263054]]], ""type"": ""MultiLineString""}","47.554384831407305,7.6002234177242265",,1982,CAS,Castellioweglein
1009,850,Kasernenstrasse,"Kaserne, erbaut 1860–1863,",bis 1966 militärisch genutzt,"{""coordinates"": [[[7.590765093136033, 47.562666806168714], [7.591153681976169, 47.56278608564073]], [[7.591153681976169, 47.56278608564073], [7.591178750759338, 47.56279369749308], [7.591786659105868, 47.56297531083798], [7.591970183520741, 47.56303409529554]]], ""type"": ""MultiLineString""}","47.5628499258892,7.591367807504551",,1892,KAS,Kasernenstr.
1015,645,Wilhelm Klein-Strasse,"Wilhelm Klein (1825–1887),",Journalist und freisinniger Politiker,"{""coordinates"": [[7.567559999596662, 47.56983211307404], [7.567459663447988, 47.56990303116454], [7.566705787114901, 47.570435837345265], [7.566273598885011, 47.57074127760803]], ""type"": ""LineString""}","47.570286699330005,7.566916802060064",,1924,KLE,Wilhelm Klein-Str.
1020,829,Hermann Albrecht-Strasse,"Anton Hermann Albrecht (1835–1906), Markgräfler Schriftsteller und Pfarrer",,"{""coordinates"": [[7.61401582774725, 47.56876058868407], [7.614149570129751, 47.56868423756396], [7.615216838139116, 47.567840741894706], [7.615294666423865, 47.56777922385424]], ""type"": ""LineString""}","47.56827856470465,7.614661092122363",,1931,ALB,Hermann Albrecht-Str.
1030,1912,Irène Zurkinden-Platz,"Irène Zurkinden (1909–1987), Malerin,",Illustratorin und Bühnenbildnerin,"{""coordinates"": [[7.607861727959465, 47.53777207797593], [7.608440952298754, 47.538060322326736], [7.608874389824846, 47.537743755209526], [7.608268693790551, 47.537441925960906], [7.608244993116972, 47.53746063161857], [7.608221358946781, 47.5374793731495], [7.608197804618292, 47.53749816852202], [7.60817434338413, 47.53751700872302], [7.608150935372256, 47.537535884816855], [7.608127620454774, 47.53755480573925], [7.608104385379075, 47.5375737805034], [7.608081216806909, 47.53759279114118], [7.608058128048024, 47.53761184662701], [7.608035132383661, 47.53763094694157], [7.608012203222917, 47.53765008312995], [7.607989353904072, 47.53766927316023], [7.607966584370104, 47.53768849904506], [7.607943881368348, 47.537707769797485], [7.60792127146128, 47.5377270853789], [7.607898741339195, 47.53774643681502], [7.607861727959465, 47.53777207797593]], ""type"": ""LineString""}","47.53775330146728,7.608365616665573",,2012,ZUR,Irène Zurkinden-Platz
1039,501,Rütimeyerplatz,"Ludwig Rütimeyer (1825–1895), Professor für","Anatomie und Zoologie, Evolutionsbiologe","{""coordinates"": [[[7.575890304203304, 47.54895002513951], [7.5757801990219, 47.54890082393177], [7.57577941946375, 47.54890246171223], [7.575778533564058, 47.54890407263649], [7.575777528038784, 47.548905656720194], [7.575776402864834, 47.548907204969545], [7.575775184610272, 47.54890871735333], [7.575773846683957, 47.54891018490905], [7.575772415653939, 47.54891160760547], [7.57577089152022, 47.54891298544257], [7.57576926097569, 47.54891430944225], [7.57576753728131, 47.5489155705952], [7.575765733767257, 47.54891678687316], [7.575763837103349, 47.548917940304335], [7.575761873857661, 47.548919030857505], [7.575759830723093, 47.54892004955451], [7.575757707745777, 47.548921014382834], [7.575755531424591, 47.54892189833004], [7.57567708702059, 47.548952236546114], [7.57558474785657, 47.548987951305975], [7.575508731845629, 47.549017351204505], [7.57550651550295, 47.5490181722377], [7.575504259100749, 47.54901891237404], [7.575501936093947, 47.549019580638486], [7.575499573050672, 47.54902017699981], [7.575497183254989, 47.5490207014424], [7.575494740115761, 47.549021145003785], [7.575492283485184, 47.549021507637136], [7.575489800079207, 47.54902178935807], [7.575487303181899, 47.54902199015094], [7.575484792816301, 47.54902211900955], [7.575482268936378, 47.549022157946425], [7.57547974487225, 47.54902212493336], [7.575477233861947, 47.549022001967394], [7.575474735951517, 47.549021807035956], [7.575472251094934, 47.54902152215159], [7.575469792622315, 47.54902116528614], [7.575467347226588, 47.54902072746152], [7.575464954782968, 47.54902021762466], [7.575462588700328, 47.549019626813], [7.575460275546786, 47.549018954995404], [7.575458002084345, 47.54901822017493], [7.575455781551027, 47.549017404348426], [7.575453627276941, 47.549016525487886], [7.575451539239071, 47.54901557459961], [7.575449517437431, 47.54901455168346], [7.575447561918045, 47.54901347472699], [7.575445699226042, 47.549012334705324], [7.575443902793281, 47.549011131649586], [7.575442199210911, 47.54900987452235], [7.575440588478936, 47.549008563323625], [7.575439070620365, 47.549007207047154], [7.575437645612177, 47.54900579669919], [7.575374543364377, 47.54903067548749]], [[7.57568666427161, 47.54942348008557], [7.575791407907357, 47.54948470333643], [7.575792187450605, 47.54948305656252], [7.575793073336473, 47.54948143664477], [7.575794078872192, 47.54947985256127], [7.575795190750512, 47.54947829533396], [7.57579642230175, 47.54947678293464], [7.575797746934473, 47.54947530640086], [7.575799191263178, 47.54947388368877], [7.575800715389189, 47.54947249685783], [7.575802359234253, 47.54947117284233], [7.575804082922771, 47.549469902695435], [7.575805886454742, 47.54946868641708], [7.575807783137415, 47.54946753298543], [7.575809759663541, 47.549466433422374], [7.575811816102362, 47.549465414709054], [7.575813939100467, 47.5494644498799], [7.575816128727098, 47.54946356591613], [7.575833022697319, 47.54945700758161], [7.576040501301753, 47.549376574973984], [7.576042797309803, 47.54937573584933], [7.576045159923507, 47.54937496859616], [7.576047562597689, 47.54937428223955], [7.576050018616512, 47.54937367676383], [7.576052514718953, 47.54937316117834], [7.57605505085878, 47.54937271749567], [7.576057613798096, 47.549372363718945], [7.576060190252767, 47.54937209986373], [7.576062793483828, 47.54937191692067], [7.576065410230262, 47.54937182389924], [7.576068013900665, 47.549371811836956], [7.576070631086471, 47.54937188969622], [7.57607323521939, 47.549372057508336], [7.576075813015288, 47.549372315289006], [7.576078377735197, 47.54937265402879], [7.576080916094979, 47.549373073743446], [7.576083428117777, 47.549373583426565], [7.576085887212169, 47.54937417411583], [7.57608830666232, 47.5493748457956], [7.57609067316095, 47.54937558948775], [7.576092986754337, 47.54937642317976], [7.576095220827916, 47.54937732891552], [7.576097401949999, 47.54937830666368], [7.576099503552289, 47.54937935645558], [7.576101538895815, 47.54938046928183], [7.576103481435403, 47.549381654167505], [7.576105331147923, 47.549382902118865], [7.576107088033377, 47.54938421313587], [7.576108752068622, 47.54938557822487], [7.576110309969511, 47.54938699740151], [7.576111774997068, 47.5493884616564], [7.576113120606097, 47.54938998001456], [7.576189834188084, 47.54936314212067]], [[7.575374543364377, 47.54903067548749], [7.575311427773358, 47.54905555425674], [7.575312799873202, 47.54905705460584], [7.575314052554458, 47.549058609057354], [7.575315185748125, 47.54906019063019], [7.575316212784256, 47.5490618172962], [7.575317120332784, 47.54906347108357], [7.575317908416687, 47.54906516098591], [7.575318563705894, 47.54906686903145], [7.575319099484465, 47.549068595204545], [7.575319515752387, 47.549070339505256], [7.575319799202576, 47.549072092955385], [7.575319963119098, 47.549073855539376], [7.575319980933775, 47.549075627288374], [7.575319892452845, 47.54907739016816], [7.575319657824056, 47.54907914422555], [7.575319303638552, 47.54908089842305], [7.575318829850318, 47.54908263477323], [7.575318223175267, 47.54908435329163], [7.575317496874477, 47.549086044968995], [7.575316637686841, 47.549087718814576], [7.575315672134521, 47.54908935680979], [7.57531458693343, 47.54909095897023], [7.575313382083556, 47.549092525295826], [7.575312070845981, 47.54909404677739], [7.575310639959605, 47.54909553242409], [7.575309115946601, 47.5490969642174], [7.575307472238789, 47.54909834218846], [7.575305748665436, 47.549099657296765], [7.575303931988431, 47.549100927545425], [7.575302008854718, 47.54910212596874], [7.575300019139537, 47.54910326151381], [7.575297936251725, 47.54910432521797], [7.575295786782455, 47.54910532604378], [7.575334669368262, 47.549141669205724]], [[7.576253089701926, 47.549258479108246], [7.576219300000401, 47.54921921626979], [7.576217082942637, 47.54921975851093], [7.57621482584729, 47.549220228849244], [7.576212541998477, 47.54922062726897], [7.576210244703482, 47.549220962748294], [7.576207920655041, 47.54922122630909], [7.576205569876312, 47.549221426945046], [7.576203218889236, 47.54922154663744], [7.576200867740122, 47.54922160337365], [7.576198516405825, 47.54922158816004], [7.576196151602246, 47.54922150101218], [7.576193813181729, 47.54922134188312], [7.576191474576056, 47.54922111080421], [7.576189162376623, 47.549220816737765], [7.576186863253015, 47.54922044171207], [7.576184603819764, 47.54922000368328], [7.576182357508659, 47.54921950268263], [7.576180164148894, 47.54921892966946], [7.576177997195396, 47.54921829366879], [7.576175883216394, 47.54921759464932], [7.576173808927787, 47.549216832626676], [7.576171787613693, 47.54921600758527], [7.576169832558221, 47.549215119509384], [7.576167930500408, 47.54921417740842], [7.576166081440259, 47.54921318128239], [7.576164311922852, 47.54921212210624], [7.576162608710367, 47.54921101788303], [7.576160985086906, 47.549209868597224], [7.576159441029334, 47.54920866525503], [7.576157976560792, 47.54920741685009], [7.576156578397161, 47.54920612339823], [7.576155286390776, 47.54920478485238], [7.576154074019683, 47.54920341923129], [7.576057989135371, 47.54908950067779], [7.576005316523862, 47.54902705613616], [7.5760040504697, 47.5490254747265], [7.57600291714068, 47.54902384819175], [7.576001889991782, 47.54902218555688], [7.57600099561424, 47.549020495784326], [7.576000233984922, 47.549018769880405], [7.575999591865983, 47.549017025848116], [7.575999069257414, 47.549015263687586], [7.575998692704211, 47.54901347437367], [7.575998435707576, 47.549011684918966], [7.575998324812509, 47.549009886298386], [7.575998346758042, 47.54900808752134], [7.575998488283228, 47.54900629759717], [7.575998762648983, 47.54900450751652], [7.575999183162478, 47.549002726257484], [7.57599972327869, 47.54900096284506], [7.576000396304785, 47.548999226257294], [7.575890304203304, 47.54895002513951]], [[7.576189834188084, 47.54936314212067], [7.576266547715644, 47.549336313169455], [7.576265534809237, 47.54933502825801], [7.576264628106529, 47.5493337162399], [7.576263827584356, 47.54933236812146], [7.576263133265876, 47.54933099289641], [7.57626254517424, 47.549329599558504], [7.576262076570414, 47.549328179098254], [7.576261714216566, 47.549326749518855], [7.576261471396841, 47.54932531080461], [7.576261334803911, 47.549323853977505], [7.576261317791403, 47.549322406003036], [7.576261420336128, 47.54932095788745], [7.576261642438088, 47.54931950963073], [7.576261970859445, 47.54931807923606], [7.576262405577038, 47.5493166577097], [7.576262959898155, 47.54931525402968], [7.57626363382278, 47.549313868195966], [7.57626441411309, 47.549312518211785], [7.576265287461784, 47.549311195099015], [7.576266280437117, 47.54930989882629], [7.576267366517143, 47.54930864741242], [7.576268545701855, 47.54930744085748], [7.576269831252224, 47.54930627015194], [7.576271196646296, 47.54930515331474], [7.576272655168198, 47.549304090330104], [7.576274193533804, 47.549303081213736], [7.576275811743108, 47.54930212596563], [7.576277496535148, 47.54930123359522], [7.576279261194044, 47.54930040408678], [7.576281079151544, 47.54929963747168], [7.576282963691786, 47.549298933734256], [7.576284901576954, 47.54929831087764], [7.57628687947661, 47.54929775093003], [7.576253089701926, 47.549258479108246]], [[7.575334669368262, 47.549141669205724], [7.57537353872322, 47.549178012369715], [7.575375210748548, 47.549177317889956], [7.575376922764178, 47.54917667732584], [7.575378674793134, 47.549176099671065], [7.575380480096507, 47.54917557591632], [7.575382312129103, 47.549175115086484], [7.575384184152032, 47.549174708172295], [7.575386082927205, 47.54917437317671], [7.575387995147527, 47.549174101121594], [7.575389920789986, 47.549173883013275], [7.575391873184715, 47.54917373682357], [7.575393825763514, 47.54917366258368], [7.575395791764477, 47.54917364229055], [7.575397744665427, 47.54917369396278], [7.575399697727465, 47.54917380859108], [7.575401637666488, 47.54917398619098], [7.575403564482509, 47.54917422676258], [7.575405464891439, 47.54917453032142], [7.575407352200386, 47.549174905845625], [7.575409199795134, 47.549175335378905], [7.575411020982806, 47.54917582789938], [7.575412802456279, 47.549176374428995], [7.575414530977504, 47.54917699297071], [7.575416233045634, 47.54917765651219], [7.575417868854388, 47.54917838308766], [7.575419451641858, 47.54917915469409], [7.575420981454072, 47.549179989318915], [7.575422458221983, 47.549180859980915], [7.575423855446429, 47.54918179369254], [7.575425186342473, 47.54918276345701], [7.575426450933121, 47.549183778267974], [7.575427635911266, 47.54918482914734], [7.575428741299912, 47.54918592508881], [7.575515784822856, 47.54927638107154], [7.575577028465392, 47.54934002092827], [7.575578147490121, 47.54934125175861], [7.575579173641112, 47.54934252766674], [7.575580093611174, 47.549343839674584], [7.575580907377256, 47.54934517878843], [7.575581614939344, 47.54934654500823], [7.575582203013294, 47.549347938349605], [7.575582684860206, 47.549349349803286], [7.575583060480059, 47.549350779369206], [7.57558331656566, 47.54935221806922], [7.575583466401151, 47.54935366588775], [7.575583496679333, 47.549355113846765], [7.57558340740019, 47.549356561946105], [7.57558321182482, 47.549358001176564], [7.575582896669074, 47.54935943155368], [7.575582461932926, 47.54936085307748], [7.57558192087749, 47.549362256738654], [7.57568666427161, 47.54942348008557]]], ""type"": ""MultiLineString""}","47.549191622649765,7.575791638478546",,1904,RÜT,Rütimeyerplatz
