;qid;instanceLabel;dateBirth;pic;sex;instance;STR_ESID;STN_LABEL;STN_LABEL_FINAL
73;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10112026;Merkurstrasse;Merkur
74;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10000061;Merkurstrasse;Merkur
75;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10064810;Merkurstrasse;Merkur
76;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10059008;Merkurstrasse;Merkur
77;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10086016;Merkurstrasse;Merkur
78;Q89013;Q5;1764-10-06T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Gottfried%20Ebel.jpg;male;Person;10004299;Ebelstrasse;Ebel
79;Q123497;Q5;1874-10-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/GuisanPortraitETH-Bibliothek-Fel%20017299-RE.jpg;male;Person;10210037;General-Guisan-Quai;General Guisan
80;Q123497;Q5;1874-10-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/GuisanPortraitETH-Bibliothek-Fel%20017299-RE.jpg;male;Person;10085868;General-Guisan-Quai;General Guisan
81;Q104002;Q66016;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Francesco%20Cozza%20-%20Urania.jpg;female;Religion;10118012;Uraniastrasse;Urania
82;Q37340;Q511056;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20of%20the%20Belvedere.jpg;male;Religion;10042528;Apollostrasse;Apollo
83;Q37340;Q511056;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20of%20the%20Belvedere.jpg;male;Religion;10070399;Apollostrasse;Apollo
84;Q37340;Q511056;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20of%20the%20Belvedere.jpg;male;Religion;10059033;Apollostrasse;Apollo
85;Q3954;Q1916821;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Neptuno%20colosal%20%28Museo%20del%20Prado%29%2001.jpg;male;Religion;10110200;Neptunstrasse;Neptun
86;Q3954;Q1916821;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Neptuno%20colosal%20%28Museo%20del%20Prado%29%2001.jpg;male;Religion;10022239;Neptunstrasse;Neptun
