;name;name:etymology:wikidata;Unnamed: 0;STR_ESID;STN_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_OFFICIAL;STR_EASTING;STR_NORTHING;STN_LABEL_NO_BI;STN_LABEL_NO_TERMS;STR_TERMS;STR_PREPS;STN_LABEL_FINAL
126;Zwinglistrasse;Q123034;181319;10159206;Zwinglistrasse;4811;Herdern;TG;True;2712679.0;1275743.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
127;Zwinglistrasse;Q123034;187856;10124162;Zwinglistrasse;1632;Glarus;GL;True;2723617.0;1211223.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
128;Zwinglistrasse;Q123034;200866;10004205;Zwinglistrasse;261;Zürich;ZH;True;2682313.0;1248082.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
129;Zwinglistrasse;Q123034;214017;10058973;Zwinglistrasse;230;Winterthur;ZH;True;2698341.0;1260862.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
130;Bullingerstrasse;Q123839;193005;10127983;Bullingerstrasse;261;Zürich;ZH;True;2680927.0;1248398.0;Bullingerstrasse;Bullinger;strasse;;Bullinger
131;Bullingerstrasse;Q123839;218815;10009148;Bullingerstrasse;230;Winterthur;ZH;True;2698445.0;1260829.0;Bullingerstrasse;Bullinger;strasse;;Bullinger
132;Fierzgasse;Q1647505;198811;10118017;Fierzgasse;261;Zürich;ZH;True;2682562.0;1248670.0;Fierzgasse;Fierz;gasse;;Fierz
133;Herbartstrasse;Q76685;198349;10006342;Herbartstrasse;261;Zürich;ZH;True;2682076.0;1248050.0;Herbartstrasse;Herbart;strasse;;Herbart
134;Kernstrasse;Q1303505;84568;10188587;Kernstrasse;359;Vechigen;BE;True;2608289.0;1200418.0;Kernstrasse;Kern;strasse;;Kern
135;Kernstrasse;Q1303505;190875;10057407;Kernstrasse;230;Winterthur;ZH;True;2695928.0;1260564.0;Kernstrasse;Kern;strasse;;Kern
136;Kernstrasse;Q1303505;194458;10106345;Kernstrasse;53;Bülach;ZH;True;2683007.0;1264344.0;Kernstrasse;Kern;strasse;;Kern
137;Kernstrasse;Q1303505;203982;10109006;Kernstrasse;261;Zürich;ZH;True;2682013.0;1247862.0;Kernstrasse;Kern;strasse;;Kern
138;Engelstrasse;Q2138725;168784;10000033;Engelstrasse;293;Wädenswil;ZH;True;2693565.0;1231734.0;Engelstrasse;Engel;strasse;;Engel
139;Engelstrasse;Q2138725;180873;10038920;Engelstrasse;4746;Münchwilen (TG);TG;True;2717570.0;1259529.0;Engelstrasse;Engel;strasse;;Engel
140;Engelstrasse;Q2138725;201711;10085174;Engelstrasse;192;Egg;ZH;True;2696515.0;1237970.0;Engelstrasse;Engel;strasse;;Engel
141;Engelstrasse;Q2138725;217452;10110781;Engelstrasse;230;Winterthur;ZH;True;2695873.0;1260536.0;Engelstrasse;Engel;strasse;;Engel
142;Engelstrasse;Q2138725;217855;10111577;Engelstrasse;261;Zürich;ZH;True;2681942.0;1247856.0;Engelstrasse;Engel;strasse;;Engel
143;Albert Schweitzer-Strasse;Q49325;24068;10077452;Albert Schweitzer-Strasse;2701;Basel;BS;True;2612100.0;1265053.0;Albert Schweitzer-Strasse;Albert Schweitzer;strasse;;Albert Schweitzer
144;Wettsteinallee;Q676457;22388;10181513;Wettsteinallee;2701;Basel;BS;True;2612792.0;1267903.0;Wettsteinallee;Wettsteinallee;;;Wettsteinallee
145;Berchtoldstrasse;Q690990;57842;10008008;Berchtoldstrasse;351;Bern;BE;True;2599734.0;1200613.0;Berchtoldstrasse;Berchtold;strasse;;Berchtold
146;Berchtoldstrasse;Q690990;169025;10104136;Berchtoldstrasse;198;Uster;ZH;True;2696328.0;1245248.0;Berchtoldstrasse;Berchtold;strasse;;Berchtold
147;Bonstettenstrasse;Q892874;56909;10084833;Bonstettenstrasse;351;Bern;BE;True;2599908.0;1200782.0;Bonstettenstrasse;Bonstetten;strasse;;Bonstetten
148;Bonstettenstrasse;Q892874;169999;10063136;Bonstettenstrasse;198;Uster;ZH;True;2697114.0;1244159.0;Bonstettenstrasse;Bonstetten;strasse;;Bonstetten
149;Daxelhoferstrasse;Q1156777;64870;10188564;Daxelhoferstrasse;351;Bern;BE;True;2599883.0;1200874.0;Daxelhoferstrasse;Daxelhofer;strasse;;Daxelhofer
150;Simonstrasse;Q15621581;68586;10046183;Simonstrasse;351;Bern;BE;True;2599637.0;1200811.0;Simonstrasse;Simon;strasse;;Simon
151;Simonstrasse;Q15621581;81712;10009644;Simonstrasse;546;Münchenbuchsee;BE;True;2601296.0;1207311.0;Simonstrasse;Simon;strasse;;Simon
152;Simonstrasse;Q15621581;138065;10033298;Simonstrasse;3203;St. Gallen;SG;True;2749041.0;1256000.0;Simonstrasse;Simon;strasse;;Simon
153;Simonstrasse;Q15621581;159554;10046696;Simonstrasse;3215;Rorschach;SG;True;2755208.0;1260475.0;Simonstrasse;Simon;strasse;;Simon
154;Effingerstrasse;Q1296211;70863;10006579;Effingerstrasse;611;Kiesen;BE;True;2610862.0;1185529.0;Effingerstrasse;Effinger;strasse;;Effinger
155;Effingerstrasse;Q1296211;76530;10008958;Effingerstrasse;351;Bern;BE;True;2598820.0;1199356.0;Effingerstrasse;Effinger;strasse;;Effinger
