;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
32112;10057878;Ziegelhütte;;;;;;;;;;
32113;10057879;Altbach;;;;;;;;;;
32114;10057880;Badener;;;;;;;;;;
32115;10057881;Chüegass;;;;;;;;;;
32116;10057882;Haslern;;;;;;;;;;
32117;10057883;Beaulieu;http://www.wikidata.org/entity/Q2843110;Beaulieu;Pierre;;männlich;1600-01-01T00:00:00Z;1664-04-05T00:00:00Z;;;
32118;10057884;Beaumont;http://www.wikidata.org/entity/Q2891426;Q2891426;;;männlich;1922-10-07T00:00:00Z;1994-10-21T00:00:00Z;http://www.wikidata.org/entity/Q5727;http://www.wikidata.org/entity/Q1492;
32119;10057885;Bierhübeli;;;;;;;;;;
32120;10057886;Bitzius;;;;;;;;;;
32121;10057887;Brunngasshalde;;;;;;;;;;
32122;10057888;Brückfeld;;;;;;;;;;
32123;10057889;Buch;http://www.wikidata.org/entity/Q55021352;Freiherr Christian Leopold von Buch;Christian;;männlich;1774-04-25T00:00:00Z;1853-03-04T00:00:00Z;http://www.wikidata.org/entity/Q1269106;http://www.wikidata.org/entity/Q64;
32124;10057891;Burgfeld;;;;;;;;;;
32125;10057892;Büren;http://www.wikidata.org/entity/Q11820;Martin Van Buren;Martin;Van Buren;männlich;1782-12-05T00:00:00Z;1862-07-24T00:00:00Z;http://www.wikidata.org/entity/Q3478629;http://www.wikidata.org/entity/Q3478629;
32126;10057893;Chavez;http://www.wikidata.org/entity/Q8440;Hugo Chávez;Hugo;Chávez;männlich;1954-07-28T00:00:00Z;2013-03-05T00:00:00Z;http://www.wikidata.org/entity/Q728412;http://www.wikidata.org/entity/Q16576090;
32127;10057894;Dahlia;http://www.wikidata.org/entity/Q290864;Dahlia Grey;Dahlia;Grey;weiblich;1972-02-14T00:00:00Z;;http://www.wikidata.org/entity/Q5083;;
32128;10057895;Damm;http://www.wikidata.org/entity/Q91064;Udo Dammer;Carl;Dammer;männlich;1860-01-08T00:00:00Z;1920-11-15T00:00:00Z;http://www.wikidata.org/entity/Q490689;http://www.wikidata.org/entity/Q2204236;
32129;10057896;Dapples;;;;;;;;;;
32130;10057897;Diesbach;;;;;;;;;;
32131;10057898;Dietler;http://www.wikidata.org/entity/Q1222742;Dieter Sattler;Dieter;;männlich;1906-02-02T00:00:00Z;1968-11-09T00:00:00Z;http://www.wikidata.org/entity/Q1726;http://www.wikidata.org/entity/Q220;
32132;10057899;Egel;http://www.wikidata.org/entity/Q103503;Ulrike Egelhaaf-Gaiser;Ulrike;;weiblich;1967-01-01T00:00:00Z;;http://www.wikidata.org/entity/Q4019;;
32133;10057900;Eichholz;;;;;;;;;;
32134;10057901;Erika;http://www.wikidata.org/entity/Q35477;Alina Plugaru;Alina;Plugaru;weiblich;1987-12-18T00:00:00Z;;http://www.wikidata.org/entity/Q192269;;
32135;10057902;Eymatt;;;;;;;;;;
32136;10057903;Feller;http://www.wikidata.org/entity/Q44464;Rudi Völler;Rudolf;Völler;männlich;1960-04-13T00:00:00Z;;http://www.wikidata.org/entity/Q3802;;
32137;10057919;Bern;http://www.wikidata.org/entity/Q7199;Marcel Proust;Marcel;Proust;männlich;1871-07-10T00:00:00Z;1922-11-18T00:00:00Z;http://www.wikidata.org/entity/Q90;http://www.wikidata.org/entity/Q90;
32138;10057920;Friedhof;;;;;;;;;;
32139;10057921;Hämmannmatte;;;;;;;;;;
32140;10057922;Schul;http://www.wikidata.org/entity/Q65685;Carl Heinrich Schultz;Carl;Schultz;männlich;1805-06-30T00:00:00Z;1867-12-17T00:00:00Z;http://www.wikidata.org/entity/Q16017;http://www.wikidata.org/entity/Q22951;
32141;10057923;Tschannenmatte;;;;;;;;;;
32142;10057924;Wald;;;;;;;;;;
32143;10057925;Bielmatten;;;;;;;;;;
32144;10057926;Hausmatten;;;;;;;;;;
32145;10057927;Jens;http://www.wikidata.org/entity/Q10510;Jenson Button;Alexander;Button;männlich;1980-01-19T00:00:00Z;;http://www.wikidata.org/entity/Q1242441;;
32146;10057928;Bahnhof;;;;;;;;;;
32147;10057929;Bärlet;http://www.wikidata.org/entity/Q1115808;Gabriel Barletta;Gabriel;Barletta;männlich;1500-01-01T00:00:00Z;1480-01-01T00:00:00Z;http://www.wikidata.org/entity/Q13470;;
32148;10057930;Gummen;;;;;;;;;;
32149;10057931;Kanal;;;;;;;;;;
32150;10057932;Matten;http://www.wikidata.org/entity/Q36615390;L.C. Matten;;;;;;;;
32151;10057933;Port;;;;;;;;;;
32152;10057934;Rebhalde;;;;;;;;;;
32153;10057935;Jura;http://www.wikidata.org/entity/Q1066361;Juraj Herz;Juraj;Herz;männlich;1934-09-04T00:00:00Z;2018-04-08T00:00:00Z;http://www.wikidata.org/entity/Q327977;http://www.wikidata.org/entity/Q1085;
32154;10057937;Zälgli;;;;;;;;;;
32155;10057939;Quellmatt;;;;;;;;;;
32156;10057940;Ahorn;;;;;;;;;;
32157;10057941;Polen;http://www.wikidata.org/entity/Q318393;Wassili Dmitrijewitsch Polenow;Wassili;Polenow;männlich;1844-06-01T00:00:00Z;1927-07-18T00:00:00Z;http://www.wikidata.org/entity/Q656;http://www.wikidata.org/entity/Q4163877;
32158;10057942;Holen;http://www.wikidata.org/entity/Q329008;Miroslav Holeňák;Miroslav;;männlich;1976-02-10T00:00:00Z;;http://www.wikidata.org/entity/Q171018;;
32159;10057943;Moos;;;;;;;;;;
32160;10057944;Chutzen Ried;;;;;;;;;;
32161;10057945;Hohe Reben;;;;;;;;;;
