;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath;image
53;10004444;Tilles;;;;;;;;
54;10004445;Cairli;;;;;;;;
55;10004446;College;;;;;;;;
56;10004447;Jura;;;;;;;;
57;10004448;Monnet;;;;;;;;
58;10004449;Paturage;;;;;;;;
59;10004450;Bas Village;;;;;;;;
60;10004478;Fleurs;;;;;;;;
61;10004479;Joncheres;;;;;;;;
62;10004480;Roches;;;;;;;;
63;10004481;College;;;;;;;;
64;10004482;Pont;;;;;;;;
65;10004483;Puits;;;;;;;;
66;10004484;Raisin;;;;;;;;
67;10004485;Envers;;;;;;;;
68;10004486;Crets;;;;;;;;
69;10004489;Champ Ritat;;;;;;;;
70;10004490;Champs;;;;;;;;
71;10004491;Fin Crets;;;;;;;;
72;10004492;Fin Pertuis;;;;;;;;
73;10004497;Neuve;;;;;;;;
74;10004498;Rosselet Challandes;;;;;;;;
75;10004499;Euchette;;;;;;;;
76;10004500;College;;;;;;;;
77;10004501;Soleil;;;;;;;;
78;10004502;Brassiege;;;;;;;;
79;10004510;Poste;;;;;;;;
80;10004511;Cret Besson;;;;;;;;
81;10004514;If;http://www.wikidata.org/entity/Q16730026;If;masculin;;;;;
82;10004515;Pendants;;;;;;;;
83;10004516;Ferdinand Gonseth;http://www.wikidata.org/entity/Q122314;Ferdinand Gonseth;masculin;1890-09-22T00:00:00Z;1975-12-17T00:00:00Z;http://www.wikidata.org/entity/Q66471;http://www.wikidata.org/entity/Q807;
84;10004517;Fritz Marchand;;;;;;;;
85;10004518;Brues;;;;;;;;
86;10004519;Societes;;;;;;;;
87;10004523;Combes;;;;;;;;
88;10004524;Dolaises;;;;;;;;
89;10004525;Navaux;;;;;;;;
90;10004526;Sources;;;;;;;;
91;10004527;Cinema;;;;;;;;
92;10004531;Lovieres;;;;;;;;
93;10004535;Champ Fleuri;;;;;;;;
94;10004536;Cret Georges;;;;;;;;
95;10004537;Virgile Rossel;http://www.wikidata.org/entity/Q2527707;Virgile Rossel;masculin;1858-03-19T00:00:00Z;1933-05-29T00:00:00Z;http://www.wikidata.org/entity/Q66384;http://www.wikidata.org/entity/Q807;
96;10004538;Rouge Terre;;;;;;;;
97;10004539;Place;;;;;;;;
98;10004540;Trame;;;;;;;;
99;10004541;Deutes;;;;;;;;
100;10004542;Planes;;;;;;;;
101;10004543;Pres;;;;;;;;
102;10004544;26 Mars;;;;;;;;
103;10004545;Midi;;;;;;;;
104;10004739;Combe;;;;;;;;
105;10004742;Traversins;;;;;;;;
106;10004746;Bienne;;;;;;;;
107;10004749;Rue;;;;;;;;
108;10004750;Ami Girard;http://www.wikidata.org/entity/Q2843184;Ami Girard;masculin;1819-02-06T00:00:00Z;1900-04-10T00:00:00Z;http://www.wikidata.org/entity/Q12738;http://www.wikidata.org/entity/Q11911;
109;10004751;Samuel Aubigne;;;;;;;;
110;10004752;Erguel;;;;;;;;
111;10004753;Champs;;;;;;;;
112;10004754;Puits;;;;;;;;
113;10004755;College;;;;;;;;
114;10004756;Pierrat;;;;;;;;
115;10004758;Vauffelin;;;;;;;;
116;10004766;Erguel;;;;;;;;
117;10004767;Charriere;;;;;;;;
118;10004768;Fer;http://www.wikidata.org/entity/Q8961201;Fer;masculin;1949-04-23T00:00:00Z;2020-09-14T00:00:00Z;http://www.wikidata.org/entity/Q748894;http://www.wikidata.org/entity/Q7038;
119;10004769;Marche;;;;;;;;
120;10004770;Soleil;;;;;;;;
121;10004771;Tramelan;;;;;;;;
122;10004772;BaptiSavoye;;;;;;;;
123;10004773;Basse;;;;;;;;
124;10004774;Jacques David;http://www.wikidata.org/entity/Q1677950;Jacques David;masculin;1930-12-22T00:00:00Z;2018-12-19T00:00:00Z;http://www.wikidata.org/entity/Q818185;http://www.wikidata.org/entity/Q190118;
125;10004808;Cratat;;;;;;;;
126;10004809;Clos Dedos;;;;;;;;
127;10004811;Fenatte;;;;;;;;
128;10004812;Noveleu;;;;;;;;
129;10004813;Grands Clos;;;;;;;;
130;10004816;Champs Thiebauts;;;;;;;;
131;10004817;Haut;;;;;;;;
132;10004818;Tennis;;;;;;;;
133;10004819;Cheneviere;;;;;;;;
134;10004821;Cray;;;;;;;;
135;10004822;Boqueran;;;;;;;;
136;10004823;Botat;;;;;;;;
137;10004824;Ruisseau;;;;;;;;
138;10004834;Plan;;;;;;;;
139;10004835;Lampe;;;;;;;;
140;10005033;Fornette;;;;;;;;
141;10005034;Longines;;;;;;;;
142;10005035;Platanes;;;;;;;;
143;10005036;Milieu;http://www.wikidata.org/entity/Q21545158;Milieu;masculin;http://www.wikidata.org/.well-known/genid/05fbd2f6dad9ca2e66d3efbf08c2f0b0;1570-01-01T00:00:00Z;;;
144;10005037;Nord;;;;;;;;
145;10005039;Gaude;;;;;;;;
146;10005040;Brues;;;;;;;;
147;10005042;Longs Champs;;;;;;;;
148;10005043;Chaumin;;;;;;;;
149;10005044;Avenir;;;;;;;;
150;10005045;Envers;;;;;;;;
151;10005046;Colleges;;;;;;;;
152;10005047;Cret;;;;;;;;
153;10005053;Stand;;;;;;;;
154;10005054;Peluse;;;;;;;;
155;10005055;Bains;;;;;;;;
156;10005056;Fontenettes;;;;;;;;
157;10005057;Vieille;;;;;;;;
158;10005058;Charriere Droit;;;;;;;;
159;10005059;Cour Agibert;;;;;;;;
160;10005060;Croisee;;;;;;;;
161;10005061;Condemines;;;;;;;;
162;10005062;Verennes;;;;;;;;
163;10005063;Vernayes;;;;;;;;
164;10005064;Pres Envers;;;;;;;;
165;10005065;College;;;;;;;;
166;10005067;Champ Cochet;;;;;;;;
167;10005070;Rue;;;;;;;;
168;10005071;Planchette;;;;;;;;
169;10005072;Tombet;;;;;;;;
170;10005073;Covets;;;;;;;;
171;10005074;Lilas;;;;;;;;
172;10005075;Trois Bornes;;;;;;;;
173;10005077;Suze;;;;;;;;
174;10005079;Tabor;;;;;;;;
175;10005163;Blumen;;;;;;;;
176;10005164;Bärenmatt;;;;;;;;
177;10005165;Bärlet;;;;;;;;
178;10005166;Dählen;;;;;;;;
179;10005167;Finken;;;;;;;;
180;10005168;Freiburg;;;;;;;;
181;10005169;Gustav Bridel;;;;;;;;
182;10005170;Hubel;;;;;;;;
183;10005171;Johann Heinrich Laubscher;;;;;;;;
184;10005172;Kellersried;;;;;;;;
185;10005173;Künzi Matt;;;;;;;;
186;10005174;Linden;;;;;;;;
187;10005175;Ländte;;;;;;;;
188;10005176;Matten;;;;;;;;
189;10005177;Mon Desir;;;;;;;;
190;10005178;Mösli;;;;;;;;
191;10005179;Mühlefeld;;;;;;;;
192;10005180;Piano;http://www.wikidata.org/entity/Q54563459;Piano;;;;;;
193;10005182;Richard Nicca;;;;;;;;
194;10005183;Sand;;;;;;;;
195;10005184;Schneider;http://www.wikidata.org/entity/Q65928795;Schneider;féminin;1959-01-01T00:00:00Z;;;;
196;10005185;Schwanen;;;;;;;;
197;10005186;Seehof;;;;;;;;
198;10005603;Bergfeld;;;;;;;;
199;10005604;Birken;;;;;;;;
200;10005606;Hinter;;;;;;;;
201;10005607;Hirten;;;;;;;;
202;10005608;Jakob;http://www.wikidata.org/entity/Q21516887;Jakob;masculin;1829-01-01T00:00:00Z;1894-01-01T00:00:00Z;;;
203;10005609;Jäger;;;;;;;;
204;10005610;Läng;;;;;;;;
205;10005611;Meinisberg;;;;;;;;
206;10005612;Mohn;;;;;;;;
207;10005613;Mühle;;;;;;;;
208;10005614;Ohm;http://www.wikidata.org/entity/Q3349893;Ohm;masculin;1982-04-08T00:00:00Z;;http://www.wikidata.org/entity/Q1479;;
209;10005615;Post;;;;;;;;
210;10005616;Reh;;;;;;;;
211;10005617;Schlösslifeld;;;;;;;;
212;10005618;Sägefeld;;;;;;;;
213;10005619;Tram;;;;;;;;
214;10005620;Zollhaus;;;;;;;;
215;10005621;Zürich;;;;;;;;
216;10005925;Paul Charmillot;http://www.wikidata.org/entity/Q78060126;Paul Charmillot;masculin;1865-10-19T00:00:00Z;1932-02-03T00:00:00Z;;;
217;10005926;Beau Site;;;;;;;;
218;10005927;Sebastopol;;;;;;;;
219;10005928;Tivoli;;;;;;;;
220;10006085;Seldwyla;;;;;;;;
221;10006086;Zions;;;;;;;;
222;10006087;Wald;;;;;;;;
223;10006231;Cigognes;;;;;;;;
224;10006234;Allobroges;;;;;;;;
225;10006236;Vignes;;;;;;;;
226;10006240;Bel Air;;;;;;;;
227;10006249;Vanne;http://www.wikidata.org/entity/Q29046703;Vanne;féminin;http://www.wikidata.org/.well-known/genid/5897e83d7cc64b8ccb85219be32b1212;;;;
228;10006250;Graviers;;;;;;;;
229;10006251;Pre;;;;;;;;
230;10006252;Soleil;;;;;;;;
231;10006255;Sonceboz;;;;;;;;
232;10006739;Schlössli;;;;;;;;
233;10006740;Acker;;;;;;;;
234;10006741;Bahnhof;;;;;;;;
235;10006742;Beaumont;http://www.wikidata.org/entity/Q2891426;Beaumont;masculin;1922-10-07T00:00:00Z;1994-10-21T00:00:00Z;http://www.wikidata.org/entity/Q5727;http://www.wikidata.org/entity/Q1492;
236;10006743;Bendicht Rechberger;http://www.wikidata.org/entity/Q96488674;Bendicht Rechberger;masculin;1509-04-30T00:00:00Z;;;;
237;10006744;Burg;;;;;;;;
238;10006745;Damm;;;;;;;;
239;10006747;Gerber;;;;;;;;
240;10006748;Gurzelen;;;;;;;;
241;10006749;Halden;http://www.wikidata.org/entity/Q24276615;Halden;masculin;1969-01-01T00:00:00Z;;;;
242;10007030;Hoch;;;;;;;;
243;10007031;Kloos;;;;;;;;
244;10007032;Kontroll;;;;;;;;
245;10007033;Lindenegg;;;;;;;;
246;10007034;Logen;;;;;;;;
247;10007035;Markt;;;;;;;;
248;10007036;Mühle;;;;;;;;
249;10007037;Neuen;;;;;;;;
250;10007038;Ober;;;;;;;;
251;10007039;Paul Robert;http://www.wikidata.org/entity/Q3372105;Paul Robert;masculin;1882-11-23T00:00:00Z;1961-06-23T00:00:00Z;;;
252;10007040;Redern;;;;;;;;
253;10007041;Reuchenette;;;;;;;;
254;10007042;Rosenheim;;;;;;;;
255;10007043;Schützen;;;;;;;;
256;10007044;Seefels;;;;;;;;
257;10007045;Spyri;;;;;;;;
258;10007046;Waffen;;;;;;;;
259;10007047;Wasen;;;;;;;;
260;10007048;Wyss;;;;;;;;
261;10007049;Badhaus;;;;;;;;
262;10007050;Bahn;;;;;;;;
263;10007136;Muriers;;;;;;;;
264;10007138;Plancudrey;;;;;;;;
265;10007147;Dagne;;;;;;;;
266;10007148;Rappes;;;;;;;;
267;10007288;Chataigniers;;;;;;;;
268;10007337;Fontaines;;;;;;;;
269;10007342;Quetolin;;;;;;;;
270;10007345;Chateau;;;;;;;;
